,im,like,people,one,get,amp,good,know,time,day,would,really,love,think,us,see,even,make,thats,cant,much,go,still,great,want,got,never,well,also,back,today,u,happy,going,way,new,life,feel,ive,always,work,say,bad,right,thank,ill,many,first,look,best,take,hope,may,please,every,things,sorry,something,better,sad,thing,man,said,hes,years,someone,last,help,fun,keep,beautiful,poor,home,super,trump,nice,lol,give,little,getting,lot,done,sure,god,yes,let,live,oh,evil,use,game,funny,family,damaging,long,rejected,perfect,cold,theyre,find,broken,since,miserable,care,proud,scared,hard,two,theres,stop,show,big,without,times,thought,quality,grief,around,put,trying,real,covid,try,enough,intelligent,regret,money,stay,grieving,already,deprived,maybe,though,smile,generous,support,lucky,away,pretty,end,exciting,old,job,part,believe,celebration,heart,must,hate,gross,video,whole,adventure,news,saying,yet,wait,start,bleak,birthday,remember,used,story,via,school,seen,place,motivating,team,house,check,high,kids,lets,lively,kind
im,1.0,0.10686921,0.3138178,0.11709919,0.42365286,-0.007565121,0.06529282,0.30409178,0.19487499,0.1733989,0.083312586,0.30347404,0.12301202,0.24904102,0.04600873,0.17698541,0.10763893,0.31366187,0.49959764,0.18515301,0.16154222,0.20009366,0.3381294,-0.098240785,0.18180044,0.37880716,0.048962,0.24298945,0.24044445,0.21549694,0.3289368,0.27800372,0.21100509,0.21622851,0.06908126,-0.0010814798,0.073340446,0.45609665,0.43492377,0.17012148,0.23613723,0.31070513,0.12569179,0.26652077,0.18354788,0.34735033,0.08973749,0.060709704,0.14956787,-0.0025284968,0.08392124,0.11866595,0.0898173,0.120551996,0.10470595,0.32235548,0.26911598,0.3257623,0.060551092,0.37310132,0.23683418,0.25820452,0.20360415,0.58529717,0.10641915,0.27920616,0.19292939,0.09452938,0.24685982,0.47726384,0.08329307,0.07864824,0.17522861,0.53367174,0.0023587819,0.16800596,0.5748026,0.13009167,0.39433903,0.4946381,0.26092792,0.09900368,0.13467106,0.04220293,0.42210555,0.20707282,0.29112333,0.32887796,-0.1440988,0.097969264,0.091363795,0.30209017,0.1981519,-0.08360673,0.21352243,-0.14830898,-0.0979754,0.053878326,0.73757374,0.28599557,-0.040613107,0.20733188,0.1875794,0.06679146,0.14015003,0.29809213,0.38108027,0.07589687,0.4578105,0.5496536,0.072087206,0.29378074,0.31568316,0.21355233,0.3049857,-0.0351079,-0.007400322,0.27047467,0.089057215,0.08999652,0.1362151,0.051984254,0.31007397,0.2181335,0.06398468,0.49202293,0.10865979,0.26891595,0.13129476,0.31319386,0.16875327,0.33914882,0.30554566,0.13683905,0.07621388,0.020737398,0.1244038,0.14313991,0.48278865,0.20896058,0.08238569,0.18137254,0.14356762,0.19133663,0.16901048,0.1327146,0.22036496,0.2790493,0.28649163,0.09252998,0.077054836,0.1567691,-0.0065334775,0.11743301,0.17117403,0.2930951,0.19981451,0.5459325,-0.038884662,0.34070188,0.43177858,0.19628945,0.079497874,-0.07751392,0.21621399,0.09886673,0.13804674,0.17868511,0.035293747,0.2995584,0.1445457,0.082522504,0.40742776,0.17342445,-0.032528587,0.2815002
like,0.10686921,1.0,0.19319376,0.102507874,0.16439366,0.16071749,0.29598895,0.37660784,0.26709506,0.19126277,0.16443585,0.4379816,0.36272573,0.36223787,0.15629372,0.22696254,0.17539595,0.36351806,0.17172024,0.13392581,0.2660767,0.17596795,0.29871583,0.26309273,0.30843854,0.13132255,0.26849064,0.16475114,0.27425718,0.2010258,0.19004785,0.25093308,0.200924,0.18281968,0.44992736,0.038930874,0.2420828,0.14674151,0.18337423,0.3766163,0.084560856,0.41790915,0.5515419,0.33493197,0.104930356,0.13879369,0.21349466,0.011047259,0.31389478,0.058057345,0.2954829,0.15756366,0.01623265,0.09535961,0.08482804,0.2699267,0.32803693,0.33105868,0.4478311,0.36928472,0.20992218,0.30419093,0.36256334,0.22060743,0.2354173,0.28544942,0.09467058,0.19025622,0.36511356,0.17179614,0.32103968,0.25941604,0.028014854,0.25783315,0.14141195,0.50254893,0.4094275,0.28818458,0.40467307,0.1809399,0.40330192,0.23194198,0.23499641,0.08377665,0.27543673,0.2725256,0.019439047,0.2426576,0.30689612,0.17762302,0.24298294,0.46304017,-0.006984291,0.31192863,0.16409779,0.23349692,0.2784302,0.2532005,0.25282338,0.1910374,0.16899608,0.16825777,0.4784536,0.19897372,0.2001969,0.41615894,0.21449184,0.33731827,0.2923075,0.25199878,0.20831919,0.258617,0.29727754,0.2142769,0.4557911,0.04264313,0.27267185,0.30396178,0.3648367,0.19310544,0.24065463,-0.08150285,0.31714034,0.2504991,0.34020096,0.372217,0.20859835,0.025626391,0.121501856,0.34286362,0.18053739,0.34943348,0.37260354,0.23534657,0.15632097,-0.041444246,0.26168495,0.22158808,0.45467812,0.11508825,0.25134015,0.33406234,0.07317238,-0.041208304,0.273081,-0.09082467,0.122575335,0.22783062,0.55291003,0.5451684,0.14277452,0.08960188,0.16657367,-0.05343196,0.3846171,0.2366003,0.13265273,0.27000967,0.5225068,0.0909088,0.33779675,0.3783689,0.13581237,-0.10990821,-0.026404288,0.2683515,0.12121739,0.17035507,-0.06469691,0.17519687,0.06274304,0.109387055,0.27297726,0.09967599,0.3693294,0.31483033
people,0.3138178,0.19319376,1.0,0.24596016,0.2347584,0.2711714,0.07428328,0.40810362,0.20155925,0.01014032,0.36879426,0.4439436,0.11670295,0.3787613,0.55813205,0.2016122,0.33696318,0.17255537,0.27331486,0.32269946,0.2234515,0.33556107,0.42156267,-0.013442181,0.41694227,0.024746992,0.33368352,0.20340198,0.4120956,0.20730966,0.047754902,0.34379283,0.11200563,0.32215706,0.34699222,-0.05714104,0.30694768,0.28630295,0.257558,0.27101704,0.26821384,0.24242926,0.18553336,0.34649676,0.03858811,0.32056263,0.41956747,-0.053270355,0.14798647,-0.04952915,0.20175734,0.14446543,0.09509528,0.26207143,0.08493064,0.69376934,0.21002948,0.49753946,0.22427881,0.32442197,0.38506466,0.4888536,0.06743364,0.30591777,0.2728089,0.5691292,-0.077001624,0.3752385,0.22224061,0.31450093,-0.053573743,0.27406067,0.28078058,0.036099404,0.41676548,0.08648685,0.31745425,0.06263638,0.112437285,0.25645003,0.44285718,0.055052713,0.21074152,0.13501789,0.22023548,0.38707417,0.25373495,0.06656579,0.27377933,0.11877547,0.1477923,0.24951173,0.30049956,0.17855139,0.23691967,0.041531544,-0.1017051,-0.11192331,0.601564,0.2485797,0.024545759,0.11572115,0.3117045,0.28867626,0.07824379,0.28254062,0.47352773,0.15952072,0.34191135,0.5037569,0.043147616,0.03515394,0.47076795,0.568734,0.16660205,-0.013865821,0.29032505,0.24051534,0.08272519,0.3903518,0.25207487,0.4709025,0.35509324,0.5183207,0.34331176,0.15474154,0.5160215,0.18713957,0.25650242,0.38686967,0.15890932,0.36064056,0.26242563,0.21674553,0.07183705,0.2954854,0.11082703,0.29360175,0.11267371,0.16719358,-0.0036423958,0.09127222,0.29924303,0.15205365,0.39173162,-0.090935074,0.29355904,0.5052839,0.43663925,0.10696293,-0.02383398,0.1748616,-0.13282594,0.10137659,0.28699648,0.38597003,0.17145711,0.24550709,-0.039380156,0.08227923,0.29130292,0.43332827,0.2512357,-0.123909,0.06089579,0.12292184,0.25447163,0.28758532,0.13958733,0.3255677,-0.030389197,0.035950433,0.7052101,0.3006071,-0.074771054,0.2961014
one,0.11709919,0.102507874,0.24596016,1.0,0.15244469,0.031176798,0.26515606,0.38092914,0.2832292,0.21014266,0.27910203,0.26340193,0.12919469,0.40137878,0.19996744,0.19142458,0.24850607,0.17342293,0.31354776,0.1596236,0.10798835,0.29243645,0.40728667,0.2614555,0.16516694,0.1807308,0.30662483,0.15877154,0.42421585,0.15313505,0.23468797,0.23648123,0.14113645,0.31718796,0.25665164,0.14896226,0.25478402,0.13806818,0.24444921,0.3647975,0.17593837,0.28772104,0.28146848,0.4844234,0.0027218251,0.30542758,0.13656299,0.48864546,0.15835051,0.43867722,0.30263442,0.23212047,0.1074814,0.12718618,0.6293114,0.33086658,0.21745387,0.35999957,0.25153953,0.2759392,0.5339233,0.31021217,0.34797654,0.31023416,0.2485924,0.3887151,0.35692337,0.100809105,0.14080435,0.0047545875,0.27806798,0.05542092,0.08701063,0.07528035,0.28635767,0.2921912,0.35657984,0.24341863,0.34794828,0.1280197,0.16627087,0.24342605,0.34172326,0.09914809,0.33678177,0.26224285,0.21951887,0.19665746,0.20444222,0.06112897,0.33413377,0.32128316,0.23826675,0.039192792,0.3132877,0.09976185,0.38879162,0.119287446,0.16408186,0.28208458,0.131061,0.4323731,0.23809776,0.1367434,0.13403617,0.23395352,0.17241473,0.4138016,0.30039474,0.07827952,0.36638767,0.36659637,0.21326706,0.34365878,0.3630518,0.08325821,0.1539867,0.17330542,0.2260668,0.23111482,0.28698245,0.19796748,0.4031026,0.17420404,0.17120852,0.3186683,0.058782026,0.09652568,0.191592,0.2515529,-0.019876286,0.56473565,0.32482097,0.22117862,0.038704433,0.10880878,0.36829036,0.23829412,0.20765023,0.44679528,0.24772686,0.1810099,0.2669747,0.46688882,0.27200845,0.21472174,0.2718214,0.14560735,0.084204145,0.07288231,0.24468929,0.52482074,0.3284308,0.049144667,0.29578704,0.44332552,0.25567952,0.3188791,0.1497854,0.1900064,0.48601425,0.34175026,0.3935599,0.036393795,0.10198159,0.31695083,0.30780804,0.124394834,0.22073327,0.15388177,0.12263284,-0.051791716,0.21353146,0.12870878,0.06410675,0.32086855
get,0.42365286,0.16439366,0.2347584,0.15244469,1.0,0.14286737,0.10881637,0.34338167,0.14802349,0.2646298,0.16895795,0.22968116,0.08400442,0.34057418,0.0062650293,0.43597078,0.25437397,0.4570804,0.19159357,0.22408964,0.16344666,0.62317145,0.28290087,0.096384235,0.33535334,0.61402094,0.16009444,0.3089711,0.14476274,0.16854228,0.16871406,0.32892108,0.100094266,0.32733458,0.1500244,0.052995495,0.041258115,0.3931335,0.23228443,0.08869092,0.32502654,0.41077533,0.13202064,0.3892772,-0.029841108,0.26897246,0.11708063,0.048388053,0.28444064,0.051010754,0.36503363,0.16416001,-0.024169087,0.07731063,0.033365272,0.30004543,0.104530826,0.2979682,0.26813975,0.14262167,0.090923905,0.1431059,0.17832604,0.24437799,0.1523642,0.21618116,0.08310227,0.312198,0.12216326,0.43083918,-0.026673151,0.073155716,0.20690048,0.25559083,0.090292595,0.31752372,0.42737812,0.47850803,0.18382403,0.7257343,0.20215008,0.18560962,0.14056058,-0.018160405,0.113649994,0.2898252,0.30142528,0.03241444,-0.032305904,0.5941531,0.2226041,0.13008228,0.0243461,0.10508938,0.23663229,0.053256508,-0.057981975,0.17941843,0.41702378,0.6220237,0.15995626,0.24753658,0.14397742,0.0112285605,0.02800801,0.20785718,0.28748903,0.120412186,0.33010277,0.41832024,0.24833989,0.17802024,0.3837609,0.19805294,0.34422016,0.22859992,-0.07322943,0.32740533,0.5895515,0.17392296,0.1803399,0.18594894,0.5359789,0.3675556,0.03285471,0.33970907,0.2715878,0.37949616,-0.01586716,0.24809791,0.16682988,0.4846941,0.3167902,0.058103662,0.008361098,0.14677121,0.23449785,0.1043212,0.13862857,0.29638818,0.17747347,0.06727599,0.2518252,0.022549434,0.31924766,0.03231762,-0.029864628,0.18918304,0.20573956,0.0077360948,-0.036201257,0.003392937,0.08886228,-0.0065952833,0.29504797,0.32941666,0.39767435,0.6142722,-0.014830315,0.14035442,0.39845562,0.4048705,-0.030302178,0.097594775,0.29737327,0.21101503,0.20671189,0.16940668,0.023885971,0.29457897,0.35293737,0.108390465,0.23307088,0.28060254,-0.13317621,0.0015142905
amp,-0.007565121,0.16071749,0.2711714,0.031176798,0.14286737,1.0,0.1242233,0.083325334,0.030095626,0.18090911,0.20021804,0.2256606,0.3620909,0.08278632,0.2154469,0.13438463,0.23622105,0.2494128,-0.05710895,0.13841075,0.34662864,0.10068344,0.26159096,0.15778294,0.25390652,0.13284524,0.2280993,0.20109124,0.2881672,0.13949941,0.23092511,0.30637115,0.28953317,0.097564586,0.23854065,0.12233793,0.3302139,0.2499423,0.045066953,0.44388798,0.1854803,0.037647262,0.05171134,0.15841505,0.25658834,0.031121446,0.31474894,0.056064617,0.078296095,0.2245676,0.14015363,0.3553834,0.18717971,0.17413956,0.122494,0.1567307,0.22126472,0.13188252,0.27562752,0.13045587,0.028692767,0.2399112,0.0037782653,0.05026185,0.099983014,0.25037056,-0.019255398,0.30276787,0.013004073,0.25670746,0.3384446,0.23038283,0.35667866,0.123891786,0.13471034,0.098502286,0.0057112,0.1740637,0.25105956,0.21600574,0.281353,0.113685526,0.047729015,0.20197345,-0.1068014,0.24654979,0.23434071,-0.06220847,0.19505379,0.13953616,-0.08989376,0.037053462,0.5438478,0.15423582,0.15662532,0.12864524,0.18733469,0.098069176,0.1397197,0.12454898,0.08195337,0.09131514,0.22807251,0.31431994,0.2591206,0.034494437,0.15856579,0.10900903,0.0026543115,0.13971144,0.1851159,0.23619704,0.42669788,0.1525397,-0.04108583,0.15565918,0.32760456,0.21079248,0.23155202,0.18556392,0.26438108,0.3158043,0.07538849,0.22937557,0.2830151,0.020210162,0.24281758,0.38864964,0.35820448,0.19613253,0.22873795,-0.018977957,0.0138535,0.278687,0.3375043,0.39343807,0.16659853,0.17599167,0.10288715,0.10144655,-0.0018246862,0.17025644,0.20731007,0.15371996,0.085701175,0.3082277,0.3341192,0.3712528,0.3246177,0.086705,-0.009525585,0.13700207,0.025506098,0.12877667,0.12232943,0.14353581,-0.06192005,0.042974442,0.09541464,0.35750863,-0.0042898906,0.21959597,0.07401679,0.3687464,0.20258285,0.1860211,0.27343187,0.3117821,0.28547278,0.28953224,0.11552338,0.20019627,0.43755093,0.24249192,0.25809646,0.4119319
good,0.06529282,0.29598895,0.07428328,0.26515606,0.10881637,0.1242233,1.0,0.18648635,0.2411426,0.16859114,0.1500183,0.34364614,0.20674954,0.26088965,0.16409633,0.11413029,0.25030586,0.163731,0.22063343,0.06272342,0.26927245,0.2075521,0.10234665,0.6170371,0.21846719,0.08775448,0.18857348,0.28253096,0.327537,0.21662265,0.17955339,0.2064761,0.1060695,0.26647192,0.16140518,0.21197708,0.27175266,0.1984149,0.17437875,0.30559084,0.24072284,0.1820627,0.6704637,0.36700398,0.12060113,0.22806525,0.17552531,0.13020794,0.2192498,0.51335037,0.22605975,0.2808786,0.17019746,0.19880809,0.20365483,0.21878085,0.28590122,0.19057822,0.40597776,0.26069415,0.15822788,0.10245804,0.15688092,0.099215254,0.021532426,0.08888487,0.24417204,0.2343913,0.26223937,0.23321894,0.33286372,0.2926156,0.092084326,0.051713545,0.08251182,0.542765,0.27986357,0.26566452,0.27237242,0.11173681,0.3179873,0.3167826,0.29762152,0.14532709,0.19820121,0.26975483,0.08511807,0.28900716,0.2517591,0.057382036,0.1412906,0.33737317,0.094600864,0.27697188,0.15487963,0.14610867,0.46501085,0.3038365,0.12045493,0.27998987,0.14220145,0.124911495,0.28123477,0.29224414,0.20512839,0.2513663,0.36394814,0.18599169,0.2851258,0.05581889,0.16941752,0.39779872,0.098184936,0.11436268,0.18389523,0.41644177,0.30459988,0.2020143,0.17593893,0.16466305,0.41305262,0.0059551084,0.27270272,0.3111558,0.33907515,0.31313378,0.13544041,0.1286898,0.17904356,0.16375466,0.2496776,0.33449972,0.18141367,0.20203131,0.17780563,0.09328152,0.46599635,0.19219913,0.20112067,0.19866043,0.49493736,0.22093746,0.162762,0.1198484,0.19653891,0.049636178,-0.023370754,0.17690511,0.25955766,0.29859224,0.11368863,0.3142996,0.14807446,0.11069526,0.21955548,0.17800176,0.15947554,0.24276678,0.52851063,0.089670666,0.32430553,0.2411172,0.18027031,0.020088268,0.10583404,0.26294973,0.1575611,0.5128893,0.111934535,-0.14322193,0.058222536,0.22664405,0.1662457,0.22409421,0.432192,0.24279013
know,0.30409178,0.37660784,0.40810362,0.38092914,0.34338167,0.083325334,0.18648635,1.0,0.31942987,0.23223315,0.31492418,0.5818812,0.31136867,0.55488384,0.39373872,0.50896436,0.2361716,0.22386356,0.47797891,0.25776246,0.22508006,0.42345878,0.5373958,0.03507005,0.37407738,0.2447121,0.30956563,0.15301909,0.41270262,0.23696771,0.2607454,0.4695977,0.28338403,0.38241783,0.38039425,-0.016563386,0.36177185,0.40560573,0.21995693,0.3388439,0.2655009,0.65816694,0.2959347,0.46890166,0.18371701,0.2762849,0.26591688,0.068039194,0.29312,0.0150010595,0.26164547,0.35757166,0.19445272,0.2777453,0.16848305,0.44675407,0.43667442,0.5003467,0.37375203,0.39816427,0.48412713,0.40901968,0.45356077,0.309334,0.24335068,0.4146183,0.17008403,0.43607968,0.31872013,0.324367,0.13089785,0.18441296,0.12852299,0.13708366,0.35152736,0.25456324,0.5828478,0.44799238,0.21767963,0.29700455,0.35633862,0.40982398,0.38498995,0.2618359,0.5378156,0.45629433,0.3877607,0.402494,0.32827225,0.21335414,0.29723978,0.48634472,0.25353464,0.21206798,0.22927019,0.24870403,0.09187984,0.067680195,0.48920345,0.46255612,0.20892188,0.25053397,0.43264097,0.36830074,0.3040714,0.50670165,0.3031145,0.19823828,0.4878717,0.42571014,0.48080248,0.18393542,0.28756088,0.40940708,0.4981357,0.026277253,0.39522287,0.28492686,0.29336396,0.3047972,0.38081098,0.23427054,0.4616938,0.4523324,0.31412596,0.37581298,0.32694986,0.27492532,0.35775396,0.41259333,0.17890249,0.56099516,0.6040646,0.23597118,0.22150801,0.3153656,0.4079788,0.28909642,0.3224992,0.36895785,0.16921882,0.20347126,0.3673233,0.35374603,0.53598946,0.06834454,0.29109815,0.38642016,0.54193157,0.25420386,0.12645333,0.22397068,0.040137142,0.1871292,0.61862427,0.4856213,0.2656398,0.43945774,0.09830775,0.17718063,0.5865547,0.491894,0.33996084,-0.12875238,0.096540704,0.3727354,0.28948462,0.35053122,0.14915912,0.19464853,0.17174917,-0.0057485835,0.42894813,0.14917201,-0.045692988,0.43008155
time,0.19487499,0.26709506,0.20155925,0.2832292,0.14802349,0.030095626,0.2411426,0.31942987,1.0,0.49854854,0.16848628,0.18200622,0.23051459,0.20471433,0.35800865,0.023190318,0.22470315,0.110345654,0.18938111,0.19882181,0.33283424,0.25995037,0.24480802,0.10895165,0.24878529,0.09287397,0.15141933,0.19763947,0.25557244,0.27796543,0.36681813,0.22975117,0.14922331,0.37629074,0.4898883,0.06261671,0.56675386,0.17915778,0.2176983,0.22698158,0.30450052,0.11811536,0.14637774,0.29810658,0.19806756,0.3348385,0.09539081,0.17282416,0.18342143,0.09379602,0.22038437,0.19427402,0.32989183,0.2163673,0.23463552,0.36549997,0.20636588,0.27729002,0.35095084,0.20131153,0.47827366,0.20052557,0.072118536,0.07174515,0.2956593,0.2575538,0.27007642,0.2960964,0.2978656,0.06352551,0.0030780006,0.042977266,0.27225983,-0.020448169,0.027456068,0.074833296,0.32096618,0.24766533,0.400631,0.23715167,0.36349696,0.193033,0.3698046,0.16413498,0.21930382,0.28799307,0.37099776,0.12701236,-0.06541593,0.04847769,0.5242389,0.098427065,0.34706894,0.0452998,0.37753394,-0.025277816,0.06757847,0.04833666,0.10547313,0.14743128,0.13911603,0.42153797,0.32897043,0.368087,0.18902427,0.22478265,0.34487015,0.29650792,0.20773602,0.16785654,0.37720892,0.17597601,0.2830116,0.33892038,0.3473005,0.20315985,0.28191814,0.23654631,0.15146165,0.28701988,0.16541776,0.2523459,0.37522778,0.4311785,-0.14813927,0.37528408,0.5821171,0.108091794,0.30037674,0.2808932,0.1692321,0.4772168,0.33458585,0.25853378,0.10481562,0.10591564,0.26925135,0.49181622,0.19622073,0.29546332,0.16407089,0.118709475,0.37848943,0.48828235,0.11578457,0.26157722,0.34136096,0.26790723,0.19410579,-0.007004332,0.3104811,0.23718217,0.35315537,0.08901577,0.13649303,0.44716218,0.29523954,0.3716296,0.14662957,0.2194798,0.42541882,0.37418455,0.47253925,-0.0034622995,0.24279298,0.17884389,0.7354834,0.12306787,0.38653815,0.18257508,0.1992854,0.2043294,0.4053932,0.21807435,0.034919653,0.102661945
day,0.1733989,0.19126277,0.01014032,0.21014266,0.2646298,0.18090911,0.16859114,0.23223315,0.49854854,1.0,0.060243063,0.1562137,0.27971047,0.18034889,0.17879799,0.22710353,0.14334212,0.16746193,0.026998188,0.12902212,0.19559887,0.22355841,0.27294978,0.18389402,0.17599478,0.21389171,0.10779078,0.2950139,0.16657098,0.1673655,0.6573889,0.11794906,0.41591272,0.23998797,0.4543115,0.040272124,0.39305514,0.27963957,0.11621612,0.31695005,0.25652105,0.15788901,0.04005521,0.14839786,0.24857739,0.15099455,0.19376713,0.056971647,0.21370986,0.17053585,0.13713318,0.40152204,0.33853915,0.061421443,0.16535719,0.31923857,0.23932056,0.16476126,0.24519783,0.2664544,0.3968478,0.211565,0.047543183,0.06435856,0.27268422,0.046901822,0.16345406,0.1677303,0.20514408,0.1431319,0.37316114,-0.09024075,0.36553568,0.032901905,-0.15383992,0.31749526,0.20530902,0.24801122,0.38780594,0.21234706,0.20717028,0.0986275,0.25584745,0.25804535,0.09221672,0.18677336,0.37491563,0.07403598,-0.12911458,0.10946514,0.23001453,-0.034443807,0.39118236,-0.113418505,0.20257564,-0.080934756,0.19238234,0.30232236,0.024289595,0.24689518,0.061270986,0.29913494,0.30191222,0.13790397,0.30042472,0.100771934,0.22415812,0.28847653,0.08276137,0.0018047078,0.32858646,0.1669567,0.16879505,0.33986518,0.24053285,0.0049963826,0.2361793,0.28777456,0.16796696,0.10411407,-0.037412267,0.13335563,0.3167791,0.25433388,-0.14550191,0.31528106,0.15190892,0.25106835,0.42026642,0.1086428,0.024103276,0.26453876,0.26735926,0.37041736,0.21288545,0.07009449,0.32736892,0.3101257,0.16130473,0.36505836,0.22278395,0.09674266,0.34720346,0.23572725,0.064922616,0.48657826,0.33163658,0.06706316,0.112811185,-0.11751169,0.14992644,-0.029266704,0.22352728,0.28385332,0.04498062,0.38425794,0.337548,0.33043727,0.19871324,0.5589954,0.4369427,0.22047026,0.2582892,0.07779362,0.337161,0.0753739,0.56892735,0.07907127,0.30165476,0.23429075,0.24938531,0.13279802,0.31303775,0.31396782,0.12945922,0.13790539
